"PublYearMonth","Company","CDU/CSU","SPD","GRUNE","FDP","LINKE","AfD","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2019-dec","Forsa",0.28,0.12,0.22,0.08,0.09,0.13,0.22,2502,2019-12-14,2019-12-09,2019-12-13,FALSE,"Forsa"
"2019-dec","Forsch’gr.Wahlen",0.27,0.13,0.23,0.08,0.09,0.14,NA,1366,2019-12-13,2019-12-10,2019-12-12,FALSE,"Forsch’gr.Wahlen"
"2019-dec","Forsch’gr.Wahlen",0.29,0.14,0.28,0.09,0.09,0.07,0.2,NA,2019-12-13,NA,NA,FALSE,"Forsch’gr.Wahlen"
"2019-dec","Infratestdimap",0.27,0.14,0.21,0.08,0.08,0.15,NA,1038,2019-12-12,2019-12-10,2019-12-11,FALSE,"Infratestdimap"
"2019-dec","INSA",0.28,0.14,0.205,0.085,0.085,0.15,NA,2052,2019-12-09,2019-12-06,2019-12-09,FALSE,"INSA"
"2019-dec","Kantar(Emnid)",0.28,0.16,0.2,0.09,0.08,0.13,NA,1876,2019-12-07,2019-11-28,2019-12-04,FALSE,"Kantar(Emnid)"
"2019-dec","Forsa",0.28,0.11,0.22,0.09,0.08,0.14,0.24,2502,2019-12-07,2019-12-02,2019-12-06,FALSE,"Forsa"
"2019-dec","Infratestdimap",0.25,0.13,0.23,0.09,0.08,0.15,NA,1507,2019-12-05,2019-12-02,2019-12-04,FALSE,"Infratestdimap"
"2019-dec","GMS",0.27,0.14,0.21,0.09,0.08,0.15,NA,1004,2019-12-03,2019-11-27,2019-12-02,FALSE,"GMS"
"2019-dec","GMS",0.27,0.142,0.203,0.096,0.074,0.155,0.305,NA,2019-12-03,NA,NA,FALSE,"GMS"
"2019-dec","INSA",0.265,0.135,0.215,0.085,0.09,0.15,NA,2060,2019-12-02,2019-11-29,2019-12-02,FALSE,"INSA"
"2019-nov","Kantar(Emnid)",0.28,0.15,0.2,0.08,0.09,0.14,NA,1910,2019-11-30,2019-11-20,2019-11-27,FALSE,"Kantar(Emnid)"
"2019-nov","Forsa",0.27,0.14,0.22,0.08,0.08,0.13,0.23,2500,2019-11-30,2019-11-25,2019-11-29,FALSE,"Forsa"
"2019-nov","Forsch’gr.Wahlen",0.27,0.13,0.23,0.07,0.1,0.14,NA,1340,2019-11-29,2019-11-26,2019-11-28,FALSE,"Forsch’gr.Wahlen"
"2019-nov","Forsch’gr.Wahlen",0.28,0.13,0.28,0.07,0.11,0.08,0.17,NA,2019-11-29,NA,NA,FALSE,"Forsch’gr.Wahlen"
"2019-nov","Yougov",0.26,0.13,0.22,0.07,0.1,0.15,NA,1648,2019-11-27,2019-11-22,2019-11-26,FALSE,"Yougov"
"2019-nov","INSA",0.265,0.145,0.22,0.085,0.095,0.14,NA,2069,2019-11-26,2019-11-22,2019-11-25,FALSE,"INSA"
"2019-nov","Kantar(Emnid)",0.28,0.15,0.2,0.09,0.09,0.13,NA,1905,2019-11-23,2019-11-13,2019-11-20,FALSE,"Kantar(Emnid)"
"2019-nov","Forsa",0.26,0.14,0.21,0.09,0.09,0.13,0.22,2501,2019-11-23,2019-11-18,2019-11-22,FALSE,"Forsa"
"2019-nov","Allensbach",0.295,0.14,0.215,0.075,0.08,0.145,NA,1298,2019-11-19,2019-11-02,2019-11-13,FALSE,"Allensbach"
"2019-nov","INSA",0.25,0.155,0.21,0.085,0.1,0.15,NA,4115,2019-11-18,2019-11-15,2019-11-18,FALSE,"INSA"
"2019-nov","Kantar(Emnid)",0.27,0.17,0.18,0.08,0.1,0.14,NA,1525,2019-11-16,2019-11-07,2019-11-13,FALSE,"Kantar(Emnid)"
"2019-nov","Forsa",0.26,0.15,0.19,0.09,0.1,0.13,0.23,2501,2019-11-16,2019-11-11,2019-11-15,FALSE,"Forsa"
"2019-nov","Infratestdimap",0.25,0.15,0.22,0.07,0.09,0.14,NA,1046,2019-11-14,2019-11-12,2019-11-13,FALSE,"Infratestdimap"
"2019-nov","INSA",0.255,0.155,0.205,0.08,0.095,0.15,NA,2096,2019-11-12,2019-11-08,2019-11-11,FALSE,"INSA"
"2019-nov","Kantar(Emnid)",0.26,0.16,0.18,0.1,0.1,0.14,NA,1431,2019-11-09,2019-10-30,2019-11-06,FALSE,"Kantar(Emnid)"
"2019-nov","Forsa",0.26,0.13,0.21,0.09,0.1,0.13,0.24,2501,2019-11-09,2019-11-04,2019-11-08,FALSE,"Forsa"
"2019-nov","Forsch’gr.Wahlen",0.27,0.14,0.22,0.07,0.1,0.14,NA,1264,2019-11-08,2019-11-05,2019-11-07,FALSE,"Forsch’gr.Wahlen"
"2019-nov","Forsch’gr.Wahlen",0.27,0.15,0.26,0.08,0.11,0.08,0.14,NA,2019-11-08,NA,NA,FALSE,"Forsch’gr.Wahlen"
"2019-nov","Infratestdimap",0.26,0.14,0.22,0.08,0.09,0.14,NA,1507,2019-11-07,2019-11-04,2019-11-06,FALSE,"Infratestdimap"
"2019-nov","Yougov",0.27,0.13,0.22,0.07,0.1,0.14,NA,1583,2019-11-06,2019-10-31,2019-11-05,FALSE,"Yougov"
"2019-nov","INSA",0.255,0.135,0.21,0.08,0.1,0.16,NA,2047,2019-11-04,2019-11-01,2019-11-04,FALSE,"INSA"
"2019-nov","Kantar(Emnid)",0.27,0.16,0.18,0.09,0.09,0.15,NA,1920,2019-11-02,2019-10-24,2019-10-30,FALSE,"Kantar(Emnid)"
"2019-nov","Forsa",0.28,0.13,0.2,0.08,0.1,0.13,0.25,2502,2019-11-02,2019-10-28,2019-11-01,FALSE,"Forsa"
"2019-oct","INSA",0.26,0.135,0.23,0.075,0.09,0.155,NA,2042,2019-10-29,2019-10-25,2019-10-28,FALSE,"INSA"
"2019-oct","Kantar(Emnid)",0.29,0.15,0.2,0.08,0.09,0.14,NA,1441,2019-10-26,2019-10-17,2019-10-23,FALSE,"Kantar(Emnid)"
"2019-oct","Forsa",0.29,0.14,0.2,0.08,0.08,0.13,0.22,2501,2019-10-26,2019-10-21,2019-10-25,FALSE,"Forsa"
"2019-oct","INSA",0.27,0.135,0.225,0.075,0.09,0.15,NA,2041,2019-10-22,2019-10-18,2019-10-21,FALSE,"INSA"
"2019-oct","Kantar(Emnid)",0.29,0.15,0.2,0.07,0.09,0.13,NA,1444,2019-10-19,2019-10-10,2019-10-16,FALSE,"Kantar(Emnid)"
"2019-oct","Forsa",0.27,0.14,0.22,0.08,0.08,0.13,0.22,2501,2019-10-19,2019-10-14,2019-10-18,FALSE,"Forsa"
"2019-oct","Forsch’gr.Wahlen",0.29,0.14,0.24,0.06,0.08,0.13,NA,1226,2019-10-18,2019-10-15,2019-10-17,FALSE,"Forsch’gr.Wahlen"
"2019-oct","Forsch’gr.Wahlen",0.32,0.15,0.28,0.05,0.07,0.08,0.19,NA,2019-10-18,NA,NA,FALSE,"Forsch’gr.Wahlen"
"2019-oct","Infratestdimap",0.28,0.14,0.22,0.07,0.08,0.14,NA,1062,2019-10-17,2019-10-14,2019-10-16,FALSE,"Infratestdimap"
"2019-oct","Allensbach",0.295,0.16,0.235,0.065,0.07,0.13,NA,1238,2019-10-16,2019-09-27,2019-10-10,FALSE,"Allensbach"
"2019-oct","INSA",0.28,0.14,0.215,0.075,0.08,0.15,NA,2052,2019-10-15,2019-10-11,2019-10-14,FALSE,"INSA"
"2019-oct","Kantar(Emnid)",0.28,0.14,0.21,0.07,0.08,0.15,NA,1916,2019-10-12,2019-10-02,2019-10-09,FALSE,"Kantar(Emnid)"
"2019-oct","Forsa",0.27,0.14,0.23,0.08,0.08,0.12,0.22,2500,2019-10-12,2019-10-07,2019-10-11,FALSE,"Forsa"
"2019-oct","Infratestdimap",0.28,0.13,0.24,0.07,0.08,0.14,NA,1504,2019-10-10,2019-10-07,2019-10-09,FALSE,"Infratestdimap"
"2019-oct","GMS",0.27,0.14,0.22,0.08,0.07,0.15,NA,1002,2019-10-08,2019-10-01,2019-10-07,FALSE,"GMS"
"2019-oct","GMS",0.278,0.146,0.223,0.08,0.069,0.139,0.273,NA,2019-10-08,NA,NA,FALSE,"GMS"
"2019-oct","INSA",0.27,0.13,0.21,0.085,0.09,0.16,NA,2059,2019-10-08,2019-10-04,2019-10-07,FALSE,"INSA"
"2019-oct","Kantar(Emnid)",0.27,0.15,0.21,0.08,0.08,0.15,NA,1449,2019-10-05,2019-09-26,2019-10-01,FALSE,"Kantar(Emnid)"
"2019-oct","Forsa",0.28,0.14,0.22,0.08,0.07,0.13,0.22,2505,2019-10-05,2019-09-30,2019-10-04,FALSE,"Forsa"
"2019-oct","Yougov",0.26,0.13,0.22,0.08,0.08,0.15,NA,1573,2019-10-03,2019-09-27,2019-10-01,FALSE,"Yougov"
"2019-sep","INSA",0.265,0.13,0.22,0.08,0.08,0.16,NA,2058,2019-09-30,2019-09-27,2019-09-30,FALSE,"INSA"
"2019-sep","Kantar(Emnid)",0.27,0.16,0.21,0.07,0.08,0.15,NA,1719,2019-09-28,2019-09-19,2019-09-25,FALSE,"Kantar(Emnid)"
"2019-sep","Forsa",0.27,0.13,0.23,0.09,0.07,0.13,0.2,2505,2019-09-28,2019-09-23,2019-09-27,FALSE,"Forsa"
"2019-sep","Forsch’gr.Wahlen",0.27,0.13,0.27,0.06,0.07,0.14,NA,1325,2019-09-27,2019-09-24,2019-09-26,FALSE,"Forsch’gr.Wahlen"
"2019-sep","Forsch’gr.Wahlen",0.26,0.13,0.34,0.06,0.07,0.1,0.15,NA,2019-09-27,NA,NA,FALSE,"Forsch’gr.Wahlen"
"2019-sep","INSA",0.26,0.14,0.22,0.08,0.08,0.16,NA,2052,2019-09-23,2019-09-20,2019-09-23,FALSE,"INSA"
"2019-sep","Kantar(Emnid)",0.29,0.15,0.21,0.08,0.08,0.14,NA,1639,2019-09-21,2019-09-12,2019-09-18,FALSE,"Kantar(Emnid)"
"2019-sep","Forsa",0.27,0.15,0.22,0.08,0.07,0.13,0.21,2500,2019-09-21,2019-09-16,2019-09-20,FALSE,"Forsa"
"2019-sep","Infratestdimap",0.27,0.14,0.23,0.08,0.08,0.14,NA,1067,2019-09-19,2019-09-17,2019-09-18,FALSE,"Infratestdimap"
"2019-sep","Allensbach",0.29,0.15,0.22,0.07,0.08,0.14,NA,1255,2019-09-17,2019-09-01,2019-09-12,FALSE,"Allensbach"
"2019-sep","INSA",0.265,0.135,0.225,0.075,0.075,0.16,NA,2053,2019-09-16,2019-09-13,2019-09-16,FALSE,"INSA"
"2019-sep","Kantar(Emnid)",0.28,0.16,0.21,0.08,0.07,0.15,NA,2835,2019-09-14,2019-09-05,2019-09-11,FALSE,"Kantar(Emnid)"
"2019-sep","Forsa",0.27,0.15,0.22,0.08,0.07,0.14,0.21,2503,2019-09-14,2019-09-09,2019-09-13,FALSE,"Forsa"
"2019-sep","GMS",0.27,0.16,0.23,0.07,0.08,0.12,NA,1005,2019-09-13,2019-09-06,2019-09-12,FALSE,"GMS"
"2019-sep","GMS",0.283,0.163,0.22,0.071,0.085,0.12,0.312,NA,2019-09-13,NA,NA,FALSE,"GMS"
