"PublYearMonth","Company","CDU/CSU","SPD","GRUNE","FDP","LINKE","AfD","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"1998-sep",NA,0.351448204318151,0.409285703044537,0.0669584999847491,0.0624832280479281,0.0510145996699312,0,NA,49308512,1998-09-27,1998-09-27,1998-09-27,FALSE,"Election"
"2002-sep",NA,0.38508326027242,0.385208831981012,0.0856386760029069,0.0737307194194241,0.0399342201761462,0,NA,47996480,2002-09-22,2002-09-22,2002-09-22,FALSE,"Election"
"2005-sep",NA,0.351697115977952,0.342468895060623,0.0811691544161278,0.0982943913790538,0.0870875284437985,0,NA,47287988,2005-09-18,2005-09-18,2005-09-18,FALSE,"Election"
"2009-sep",NA,0.337978160156546,0.230348487094774,0.107058902464977,0.145628469036704,0.118879214520054,0,NA,43371190,2009-09-27,2009-09-27,2009-09-27,FALSE,"Election"
"2013-sep",NA,0.415429959107968,0.257329614550838,0.0844802791218285,0.047648817925533,0.0858899848642217,0.0470416853203441,NA,43726856,2013-09-22,2013-09-22,2013-09-22,FALSE,"Election"
"2017-sep",NA,0.329295538785229,0.205079653892514,0.0893981729785853,0.107479224341,0.0923836299527908,0.126368974018376,NA,46515492,2017-09-24,2017-09-24,2017-09-24,FALSE,"Election"
