"PublYearMonth","Company","PSOE","PP","VOX","UP","Cs","ERC","CC","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2016-oct","Invymark",0.2,0.341,NA,0.218,0.134,0.026,NA,NA,NA,2016-10-08,2016-10-03,2016-10-07,FALSE,"Invymark"
"2016-oct","Celeste-Tel",0.209,0.361,NA,0.205,0.125,0.028,0.003,NA,1100,2016-10-07,2016-10-01,2016-10-06,FALSE,"Celeste-Tel"
"2016-oct","JM&A",0.203,0.33,NA,0.226,0.134,0.028,0.004,NA,NA,2016-10-04,2016-10-03,2016-10-03,FALSE,"JM&A"
"2016-sep","SocioMétrica",0.199,0.338,NA,0.214,0.146,0.028,0.003,NA,1000,2016-10-01,2016-09-26,2016-09-30,FALSE,"SocioMétrica"
"2016-sep","GAD3",0.186,0.364,NA,0.208,0.119,0.028,0.004,NA,3400,2016-10-01,2016-09-05,2016-09-30,FALSE,"GAD3"
"2016-sep","GAD3",0.198,0.354,NA,0.209,0.115,0.027,0.004,NA,2400,2016-09-29,2016-09-05,2016-09-28,FALSE,"GAD3"
"2016-sep","JM&A",0.236,0.315,NA,0.204,0.137,0.03,0.004,NA,NA,2016-09-15,2016-09-14,2016-09-14,FALSE,"JM&A"
"2016-sep","Simple Lógica",0.237,0.336,NA,0.2,0.128,NA,NA,NA,1046,2016-09-15,2016-09-01,2016-09-14,FALSE,"Simple Lógica"
"2016-sep","GAD3",0.211,0.339,NA,0.205,0.129,0.027,0.003,NA,802,2016-09-10,2016-09-06,2016-09-09,FALSE,"GAD3"
"2016-sep","Invymark",0.218,0.337,NA,0.201,0.14,NA,NA,NA,NA,2016-09-10,2016-09-05,2016-09-09,FALSE,"Invymark"
"2016-sep","Metroscopia",0.213,0.348,NA,0.211,0.12,NA,NA,NA,1294,2016-09-09,2016-09-06,2016-09-08,FALSE,"Metroscopia"
"2016-sep","NC Report",0.224,0.348,0.003,0.207,0.121,0.028,0.003,NA,1000,2016-09-04,2016-08-29,2016-09-03,FALSE,"NC Report"
"2016-aug","Celeste-Tel",0.223,0.34,NA,0.209,0.127,0.025,0.003,NA,1100,2016-08-28,2016-08-22,2016-08-27,FALSE,"Celeste-Tel"
"2016-aug","Simple Lógica",0.228,0.354,NA,0.213,0.123,NA,NA,NA,1049,2016-08-11,2016-08-01,2016-08-10,FALSE,"Simple Lógica"
"2016-aug","JM&A",0.228,0.327,NA,0.21,0.128,0.028,0.004,NA,NA,2016-08-03,2016-08-02,2016-08-02,FALSE,"JM&A"
"2016-jul","NC Report",0.222,0.341,0.002,0.21,0.123,0.029,0.003,NA,1000,2016-07-26,2016-07-18,2016-07-25,FALSE,"NC Report"
"2016-jul","Simple Lógica",0.223,0.335,NA,0.216,0.141,NA,NA,NA,1033,2016-07-16,2016-07-01,2016-07-15,FALSE,"Simple Lógica"
"2016-jul","CIS",0.231,0.325,NA,0.196,0.12,0.029,0.001,NA,2479,2016-07-12,2016-07-01,2016-07-11,FALSE,"CIS"
"2016-jul","Invymark",0.225,0.336,NA,0.212,0.117,NA,NA,NA,NA,2016-07-02,2016-06-27,2016-07-01,FALSE,"Invymark"
"2016-jun","Sigma Dos",0.22,0.285,NA,0.256,0.118,0.031,0.003,NA,132000,2016-06-27,2016-06-26,2016-06-26,FALSE,"Sigma Dos"
"2016-jun","NC Report",0.22,0.319,NA,0.237,0.13,0.024,0.003,NA,NA,2016-06-26,2016-06-25,2016-06-25,FALSE,"NC Report"
"2016-jun","GESOP",0.216,0.287,NA,0.239,0.145,NA,NA,NA,1000,2016-06-26,2016-06-23,2016-06-25,FALSE,"GESOP"
"2016-jun","GESOP",0.216,0.287,NA,0.237,0.149,NA,NA,NA,900,2016-06-25,2016-06-22,2016-06-24,FALSE,"GESOP"
"2016-jun","GAD3",0.218,0.304,NA,0.248,0.132,0.028,0.003,NA,4000,2016-06-25,2016-06-13,2016-06-24,FALSE,"GAD3"
"2016-jun","NC Report",0.216,0.317,NA,0.245,0.131,0.023,0.003,NA,NA,2016-06-24,2016-06-23,2016-06-23,FALSE,"NC Report"
"2016-jun","GESOP",0.218,0.28,NA,0.24,0.152,NA,NA,NA,900,2016-06-24,2016-06-21,2016-06-23,FALSE,"GESOP"
"2016-jun","GESOP",0.217,0.282,NA,0.236,0.152,NA,NA,NA,900,2016-06-23,2016-06-20,2016-06-22,FALSE,"GESOP"
"2016-jun","NC Report",0.214,0.313,NA,0.251,0.132,0.023,0.003,NA,NA,2016-06-22,2016-06-21,2016-06-21,FALSE,"NC Report"
"2016-jun","GESOP",0.215,0.285,NA,0.237,0.152,NA,NA,NA,900,2016-06-22,2016-06-19,2016-06-21,FALSE,"GESOP"
"2016-jun","GESOP",0.215,0.29,NA,0.237,0.149,NA,NA,NA,900,2016-06-21,2016-06-18,2016-06-20,FALSE,"GESOP"
"2016-jun","GAD3",0.212,0.307,NA,0.249,0.141,NA,NA,NA,1900,2016-06-21,2016-06-13,2016-06-20,FALSE,"GAD3"
"2016-jun","JM&A",0.221,0.298,NA,0.239,0.139,0.024,0.003,NA,NA,2016-06-20,2016-06-19,2016-06-19,FALSE,"JM&A"
"2016-jun","Invymark",0.199,0.301,NA,0.261,0.138,NA,NA,NA,1200,2016-06-20,2016-06-17,2016-06-19,FALSE,"Invymark"
"2016-jun","GESOP",0.219,0.283,NA,0.24,0.149,NA,NA,NA,900,2016-06-20,2016-06-17,2016-06-19,FALSE,"GESOP"
"2016-jun","TNS Demoscopia",0.21,0.296,NA,0.247,0.148,NA,NA,NA,500,2016-06-20,2016-06-13,2016-06-19,FALSE,"TNS Demoscopia"
"2016-jun","GESOP",0.216,0.288,NA,0.237,0.154,NA,NA,NA,900,2016-06-19,2016-06-16,2016-06-18,FALSE,"GESOP"
"2016-jun","GESOP",0.212,0.283,NA,0.242,0.156,NA,NA,NA,900,2016-06-18,2016-06-15,2016-06-17,FALSE,"GESOP"
"2016-jun","Celeste-Tel",0.218,0.305,NA,0.253,0.133,0.024,0.003,NA,1100,2016-06-18,2016-06-14,2016-06-17,FALSE,"Celeste-Tel"
"2016-jun","NC Report",0.212,0.311,NA,0.254,0.132,0.023,0.003,NA,2000,2016-06-18,2016-06-05,2016-06-17,FALSE,"NC Report"
"2016-jun","Invymark",0.204,0.298,NA,0.253,0.141,NA,NA,NA,NA,2016-06-17,2016-06-15,2016-06-16,FALSE,"Invymark"
"2016-jun","Sigma Dos",0.2,0.305,NA,0.248,0.141,0.024,NA,NA,1500,2016-06-17,2016-06-14,2016-06-16,FALSE,"Sigma Dos"
"2016-jun","GESOP",0.208,0.286,NA,0.241,0.156,NA,NA,NA,900,2016-06-17,2016-06-14,2016-06-16,FALSE,"GESOP"
"2016-jun","GAD3",0.214,0.303,NA,0.246,0.144,0.023,0.003,NA,1400,2016-06-17,2016-06-13,2016-06-16,FALSE,"GAD3"
"2016-jun","Celeste-Tel",0.218,0.303,NA,0.251,0.134,0.024,0.003,NA,1100,2016-06-17,2016-06-13,2016-06-16,FALSE,"Celeste-Tel"
"2016-jun","Metroscopia",0.205,0.29,NA,0.26,0.145,NA,NA,NA,1800,2016-06-16,2016-06-13,2016-06-15,FALSE,"Metroscopia"
"2016-jun","GESOP",0.208,0.283,NA,0.245,0.154,NA,NA,NA,900,2016-06-16,2016-06-13,2016-06-15,FALSE,"GESOP"
"2016-jun","Simple Lógica",0.225,0.292,NA,0.235,0.154,NA,NA,NA,1226,2016-06-16,2016-06-01,2016-06-15,FALSE,"Simple Lógica"
"2016-jun","GESOP",0.211,0.278,NA,0.247,0.152,NA,NA,NA,900,2016-06-15,2016-06-12,2016-06-14,FALSE,"GESOP"
"2016-jun","Celeste-Tel",0.22,0.298,NA,0.249,0.138,0.024,0.003,NA,1100,2016-06-15,2016-06-08,2016-06-14,FALSE,"Celeste-Tel"
"2016-jun","JM&A",0.211,0.292,NA,0.244,0.151,0.024,0.003,NA,NA,2016-06-14,2016-06-13,2016-06-13,FALSE,"JM&A"
"2016-jun","GESOP",0.21,0.28,NA,0.249,0.149,NA,NA,NA,900,2016-06-14,2016-06-11,2016-06-13,FALSE,"GESOP"
"2016-jun","TNS Demoscopia",0.213,0.29,NA,0.245,0.156,NA,NA,NA,500,2016-06-13,2016-06-06,2016-06-12,FALSE,"TNS Demoscopia"
"2016-jun","NC Report",0.213,0.306,NA,0.248,0.137,0.023,0.003,NA,1000,2016-06-11,2016-06-05,2016-06-10,FALSE,"NC Report"
"2016-jun","GAD3",0.214,0.298,NA,0.243,0.149,0.024,0.003,NA,1016,2016-06-10,2016-06-06,2016-06-09,FALSE,"GAD3"
"2016-jun","Metroscopia",0.208,0.289,NA,0.254,0.159,NA,NA,NA,1200,2016-06-09,2016-06-07,2016-06-08,FALSE,"Metroscopia"
"2016-jun","Invymark",0.2,0.301,NA,0.248,0.144,0.026,NA,NA,NA,2016-06-08,2016-06-06,2016-06-07,FALSE,"Invymark"
"2016-jun","GESOP",0.212,0.279,NA,0.245,0.155,0.023,NA,NA,1816,2016-06-08,2016-06-03,2016-06-07,FALSE,"GESOP"
"2016-jun","Celeste-Tel",0.221,0.297,NA,0.244,0.143,0.024,0.003,NA,1100,2016-06-08,2016-06-01,2016-06-07,FALSE,"Celeste-Tel"
"2016-jun","NC Report",0.214,0.305,NA,0.245,0.139,0.023,0.003,NA,2000,2016-06-04,2016-05-30,2016-06-03,FALSE,"NC Report"
"2016-jun","Sigma Dos",0.203,0.31,NA,0.237,0.14,0.026,NA,NA,1000,2016-06-03,2016-05-31,2016-06-02,FALSE,"Sigma Dos"
"2016-jun","JM&A",0.217,0.287,NA,0.241,0.148,0.023,0.004,NA,NA,2016-06-02,2016-06-01,2016-06-01,FALSE,"JM&A"
"2016-jun","Metroscopia",0.202,0.285,NA,0.256,0.166,NA,NA,NA,1200,2016-06-02,2016-05-31,2016-06-01,FALSE,"Metroscopia"
"2016-may","NC Report",0.213,0.305,NA,0.247,0.142,0.022,0.003,NA,2000,2016-05-28,2016-05-16,2016-05-27,FALSE,"NC Report"
"2016-may","GAD3",0.216,0.296,NA,0.225,0.148,0.024,0.003,NA,1000,2016-05-27,2016-05-23,2016-05-26,FALSE,"GAD3"
"2016-may","CIS",0.212,0.292,NA,0.256,0.146,0.024,0.002,NA,17488,2016-05-23,2016-05-04,2016-05-22,FALSE,"CIS"
"2016-may","Celeste-Tel",0.22,0.295,NA,0.242,0.149,0.023,0.003,NA,1100,2016-05-21,2016-05-16,2016-05-20,FALSE,"Celeste-Tel"
"2016-may","NC Report",0.211,0.304,NA,0.249,0.145,0.023,0.003,NA,2500,2016-05-21,2016-05-09,2016-05-20,FALSE,"NC Report"
"2016-may","Metroscopia",0.201,0.284,NA,0.229,0.164,NA,NA,NA,1200,2016-05-19,2016-05-17,2016-05-18,FALSE,"Metroscopia"
"2016-may","Metroscopia",0.202,0.299,NA,0.232,0.155,NA,NA,NA,1200,2016-05-19,2016-05-17,2016-05-18,FALSE,"Metroscopia"
"2016-may","Metroscopia",0.211,0.315,NA,0.237,0.133,NA,NA,NA,1200,2016-05-19,2016-05-17,2016-05-18,FALSE,"Metroscopia"
"2016-may","JM&A",0.203,0.278,NA,0.245,0.166,0.023,0.003,NA,NA,2016-05-14,2016-05-13,2016-05-13,FALSE,"JM&A"
"2016-may","Invymark",0.201,0.296,NA,0.242,0.151,NA,NA,NA,NA,2016-05-14,2016-05-09,2016-05-13,FALSE,"Invymark"
"2016-may","NC Report",0.21,0.302,NA,0.249,0.147,0.022,0.003,NA,1500,2016-05-13,2016-05-09,2016-05-12,FALSE,"NC Report"
"2016-may","Simple Lógica",0.215,0.299,NA,0.221,0.177,NA,NA,NA,1035,2016-05-11,2016-05-02,2016-05-10,FALSE,"Simple Lógica"
"2016-may","NC Report",0.208,0.302,NA,0.247,0.15,0.021,0.003,NA,2000,2016-05-08,2016-04-25,2016-05-07,FALSE,"NC Report"
"2016-may","Celeste-Tel",0.224,0.292,NA,0.242,0.155,0.024,0.003,NA,1100,2016-05-07,2016-05-02,2016-05-06,FALSE,"Celeste-Tel"
"2016-may","Celeste-Tel",0.219,0.291,NA,0.251,0.154,0.024,0.003,NA,1100,2016-05-07,2016-05-02,2016-05-06,FALSE,"Celeste-Tel"
"2016-apr","NC Report",0.204,0.299,NA,0.259,0.15,NA,NA,NA,2000,2016-05-01,2016-04-18,2016-04-30,FALSE,"NC Report"
"2016-apr","GAD3",0.226,0.293,NA,0.223,0.139,0.021,0.004,NA,800,2016-04-30,2016-04-26,2016-04-29,FALSE,"GAD3"
"2016-apr","Invymark",0.194,0.287,NA,0.255,0.154,NA,NA,NA,1200,2016-04-30,2016-04-25,2016-04-29,FALSE,"Invymark"
"2016-apr","Metroscopia",0.203,0.29,NA,0.247,0.169,NA,NA,NA,1200,2016-04-29,2016-04-26,2016-04-28,FALSE,"Metroscopia"
"2016-apr","NC Report",0.205,0.299,NA,0.258,0.152,NA,NA,NA,2000,2016-04-24,2016-04-18,2016-04-23,FALSE,"NC Report"
"2016-apr","Sigma Dos",0.222,0.295,NA,0.231,0.147,0.026,NA,NA,800,2016-04-23,2016-04-18,2016-04-22,FALSE,"Sigma Dos"
"2016-apr","NC Report",0.207,0.298,NA,0.254,0.154,0.022,0.003,NA,2400,2016-04-17,2016-04-12,2016-04-16,FALSE,"NC Report"
"2016-apr","Invymark",0.204,0.286,NA,0.246,0.158,NA,NA,NA,NA,2016-04-16,2016-04-11,2016-04-15,FALSE,"Invymark"
"2016-apr","TNS Demoscopia",0.223,0.294,NA,0.235,0.158,NA,NA,NA,1000,2016-04-15,2016-04-12,2016-04-14,FALSE,"TNS Demoscopia"
"2016-apr","NC Report",0.212,0.307,NA,0.268,0.145,NA,NA,NA,955,2016-04-15,2016-04-07,2016-04-14,FALSE,"NC Report"
"2016-apr","JM&A",0.198,0.279,NA,0.245,0.17,0.024,0.004,NA,NA,2016-04-14,2016-04-13,2016-04-13,FALSE,"JM&A"
"2016-apr","Simple Lógica",0.206,0.283,NA,0.238,0.177,NA,NA,NA,1047,2016-04-13,2016-04-04,2016-04-12,FALSE,"Simple Lógica"
"2016-apr","CIS",0.216,0.274,NA,0.231,0.156,0.025,0.004,NA,2490,2016-04-11,2016-04-01,2016-04-10,FALSE,"CIS"
"2016-apr","NC Report",0.21,0.296,NA,0.248,0.155,0.023,0.003,NA,2300,2016-04-10,2016-04-04,2016-04-09,FALSE,"NC Report"
"2016-apr","GAD3",0.233,0.292,NA,0.222,0.144,0.023,0.002,NA,800,2016-04-08,2016-04-06,2016-04-07,FALSE,"GAD3"
"2016-apr","Metroscopia",0.201,0.29,NA,0.237,0.177,NA,NA,NA,1200,2016-04-07,2016-04-05,2016-04-06,FALSE,"Metroscopia"
"2016-apr","Celeste-Tel",0.222,0.291,NA,0.239,0.159,0.027,0.003,NA,1100,2016-04-06,2016-04-01,2016-04-05,FALSE,"Celeste-Tel"
"2016-apr","NC Report",0.218,0.294,NA,0.238,0.155,0.024,0.003,NA,1800,2016-04-03,2016-03-22,2016-04-02,FALSE,"NC Report"
"2016-apr","Invymark",0.216,0.286,NA,0.24,0.152,NA,NA,NA,1200,2016-04-02,2016-03-28,2016-04-01,FALSE,"Invymark"
"2016-mar","Sigma Dos",0.22,0.302,NA,0.212,0.162,0.023,NA,NA,800,2016-04-01,2016-03-28,2016-03-31,FALSE,"Sigma Dos"
"2016-mar","Metroscopia",0.21,0.277,NA,0.228,0.188,NA,NA,NA,1200,2016-03-31,2016-03-28,2016-03-30,FALSE,"Metroscopia"
"2016-mar","NC Report",0.22,0.294,NA,0.24,0.153,0.024,0.003,NA,900,2016-03-28,2016-03-22,2016-03-27,FALSE,"NC Report"
"2016-mar","NC Report",0.221,0.293,NA,0.239,0.151,0.023,0.004,NA,1000,2016-03-18,2016-03-13,2016-03-17,FALSE,"NC Report"
"2016-mar","Invymark",0.208,0.285,NA,0.258,0.143,NA,NA,NA,NA,2016-03-12,2016-03-07,2016-03-11,FALSE,"Invymark"
"2016-mar","NC Report",0.22,0.293,NA,0.242,0.151,0.024,0.003,NA,2300,2016-03-12,2016-03-01,2016-03-11,FALSE,"NC Report"
"2016-mar","GAD3",0.242,0.282,NA,0.219,0.141,0.029,0.003,NA,800,2016-03-11,2016-03-07,2016-03-10,FALSE,"GAD3"
"2016-mar","Metroscopia",0.231,0.26,NA,0.222,0.195,NA,NA,NA,1200,2016-03-10,2016-03-08,2016-03-09,FALSE,"Metroscopia"
"2016-mar","Simple Lógica",0.216,0.262,NA,0.262,0.171,NA,NA,NA,1206,2016-03-10,2016-03-01,2016-03-09,FALSE,"Simple Lógica"
"2016-mar","GESOP",0.219,0.264,NA,0.24,0.178,0.024,NA,NA,1000,2016-03-09,2016-03-05,2016-03-08,FALSE,"GESOP"
"2016-mar","Celeste-Tel",0.226,0.286,NA,0.242,0.157,0.025,0.003,NA,1100,2016-03-06,2016-03-02,2016-03-05,FALSE,"Celeste-Tel"
"2016-mar","NC Report",0.218,0.292,NA,0.244,0.149,0.024,0.004,NA,1400,2016-03-05,2016-03-01,2016-03-04,FALSE,"NC Report"
"2016-mar","JM&A",0.202,0.265,NA,0.242,0.169,0.026,0.004,NA,NA,2016-03-04,2016-03-03,2016-03-03,FALSE,"JM&A"
"2016-feb","Invymark",0.203,0.268,NA,0.266,0.158,NA,NA,NA,1200,2016-02-27,2016-02-22,2016-02-26,FALSE,"Invymark"
"2016-feb","Invymark",0.218,0.264,NA,0.249,0.162,NA,NA,NA,NA,2016-02-20,2016-02-15,2016-02-19,FALSE,"Invymark"
"2016-feb","Sigma Dos",0.231,0.278,NA,0.228,0.153,0.024,NA,NA,1000,2016-02-19,2016-02-16,2016-02-18,FALSE,"Sigma Dos"
"2016-feb","NC Report",0.214,0.289,NA,0.245,0.142,0.025,0.003,NA,1400,2016-02-19,2016-02-10,2016-02-18,FALSE,"NC Report"
"2016-feb","GAD3",0.208,0.279,NA,0.247,0.149,0.026,0.003,NA,800,2016-02-12,2016-02-08,2016-02-11,FALSE,"GAD3"
"2016-feb","JM&A",0.204,0.278,NA,0.25,0.149,0.026,0.003,NA,NA,2016-02-08,2016-02-07,2016-02-07,FALSE,"JM&A"
"2016-feb","Simple Lógica",0.217,0.269,NA,0.254,0.189,NA,NA,NA,1048,2016-02-06,2016-02-01,2016-02-05,FALSE,"Simple Lógica"
"2016-feb","Celeste-Tel",0.224,0.285,NA,0.241,0.151,0.027,0.004,NA,1100,2016-02-06,2016-02-01,2016-02-05,FALSE,"Celeste-Tel"
"2016-feb","Invymark",0.211,0.278,NA,0.254,0.151,NA,NA,NA,NA,2016-02-06,2016-02-01,2016-02-05,FALSE,"Invymark"
"2016-feb","Metroscopia",0.233,0.24,NA,0.242,0.185,NA,NA,NA,1000,2016-02-05,2016-02-03,2016-02-04,FALSE,"Metroscopia"
"2016-jan","GAD3",0.213,0.301,NA,0.229,0.134,0.024,0.003,NA,802,2016-01-22,2016-01-15,2016-01-21,FALSE,"GAD3"
"2016-jan","NC Report",0.211,0.307,NA,0.253,0.12,0.024,0.003,NA,1900,2016-01-22,2016-01-04,2016-01-21,FALSE,"NC Report"
"2016-jan","Invymark",0.208,0.308,NA,0.251,0.126,NA,NA,NA,NA,2016-01-16,2016-01-11,2016-01-15,FALSE,"Invymark"
"2016-jan","Celeste-Tel",0.219,0.302,NA,0.254,0.126,0.025,0.003,NA,1100,2016-01-16,2016-01-04,2016-01-15,FALSE,"Celeste-Tel"
"2016-jan","NC Report",0.221,0.305,NA,0.243,0.134,NA,NA,NA,955,2016-01-16,2016-01-04,2016-01-15,FALSE,"NC Report"
"2016-jan","Metroscopia",0.211,0.29,NA,0.257,0.166,NA,NA,NA,1200,2016-01-15,2016-01-12,2016-01-14,FALSE,"Metroscopia"
"2016-jan","Simple Lógica",0.204,0.3,NA,0.261,0.147,NA,NA,NA,1050,2016-01-13,2016-01-04,2016-01-12,FALSE,"Simple Lógica"
"2016-jan","CIS",0.205,0.288,NA,0.256,0.133,0.028,NA,NA,2496,2016-01-12,2016-01-02,2016-01-11,FALSE,"CIS"
"2015-dec","TNS Demoscopia",0.205,0.268,NA,0.258,0.152,0.025,0.003,NA,177100,2015-12-21,2015-12-20,2015-12-20,FALSE,"TNS Demoscopia"
"2015-dec","GESOP",0.201,0.266,NA,0.255,0.153,NA,NA,NA,950,2015-12-20,2015-12-17,2015-12-19,FALSE,"GESOP"
"2015-dec","GESOP",0.208,0.266,NA,0.245,0.155,NA,NA,NA,800,2015-12-19,2015-12-16,2015-12-18,FALSE,"GESOP"
"2015-dec","GAD3",0.204,0.281,NA,0.254,0.149,0.027,0.003,NA,7000,2015-12-19,2015-12-14,2015-12-18,FALSE,"GAD3"
"2015-dec","GESOP",0.214,0.258,NA,0.242,0.16,NA,NA,NA,750,2015-12-18,2015-12-15,2015-12-17,FALSE,"GESOP"
"2015-dec","GESOP",0.21,0.262,NA,0.241,0.159,NA,NA,NA,700,2015-12-17,2015-12-14,2015-12-16,FALSE,"GESOP"
"2015-dec","GESOP",0.206,0.254,NA,0.241,0.163,NA,NA,NA,650,2015-12-16,2015-12-13,2015-12-15,FALSE,"GESOP"
"2015-dec","GESOP",0.209,0.254,NA,0.238,0.172,NA,NA,NA,700,2015-12-15,2015-12-12,2015-12-14,FALSE,"GESOP"
"2015-dec","GAD3",0.21,0.286,NA,0.218,0.176,0.023,0.004,NA,3200,2015-12-15,2015-12-07,2015-12-14,FALSE,"GAD3"
"2015-dec","JM&A",0.186,0.277,NA,0.211,0.201,0.021,0.005,NA,NA,2015-12-14,2015-12-13,2015-12-13,FALSE,"JM&A"
"2015-dec","TNS Demoscopia",0.189,0.289,NA,0.221,0.2,NA,NA,NA,1017,2015-12-14,2015-11-30,2015-12-13,FALSE,"TNS Demoscopia"
"2015-dec","GESOP",0.208,0.252,NA,0.184,0.18,NA,NA,NA,800,2015-12-13,2015-12-10,2015-12-12,FALSE,"GESOP"
"2015-dec","NC Report",0.22,0.299,NA,0.196,0.178,0.02,0.003,NA,3000,2015-12-13,2015-12-09,2015-12-12,FALSE,"NC Report"
"2015-dec","Celeste-Tel",0.227,0.281,NA,0.205,0.181,0.02,0.003,NA,1100,2015-12-12,2015-12-07,2015-12-11,FALSE,"Celeste-Tel"
"2015-dec","Invymark",0.189,0.29,NA,0.208,0.189,NA,NA,NA,NA,2015-12-12,2015-12-07,2015-12-11,FALSE,"Invymark"
"2015-dec","Simple Lógica",0.182,0.27,NA,0.224,0.209,NA,NA,NA,1005,2015-12-12,2015-12-01,2015-12-11,FALSE,"Simple Lógica"
"2015-dec","GAD3",0.212,0.283,NA,0.217,0.181,0.023,0.004,NA,7300,2015-12-12,2015-11-16,2015-12-11,FALSE,"GAD3"
"2015-dec","Metroscopia",0.21,0.253,NA,0.241,0.182,NA,NA,NA,2800,2015-12-11,2015-12-07,2015-12-10,FALSE,"Metroscopia"
"2015-dec","Sigma Dos",0.203,0.272,NA,0.221,0.196,0.025,NA,NA,8350,2015-12-10,2015-12-01,2015-12-09,FALSE,"Sigma Dos"
"2015-dec","JM&A",0.188,0.266,NA,0.197,0.212,0.02,0.005,NA,NA,2015-12-07,2015-12-06,2015-12-06,FALSE,"JM&A"
"2015-dec","TNS Demoscopia",0.204,0.279,NA,0.194,0.219,NA,NA,NA,1035,2015-12-07,2015-11-23,2015-12-06,FALSE,"TNS Demoscopia"
"2015-dec","Celeste-Tel",0.231,0.282,NA,0.2,0.188,0.019,0.003,NA,1100,2015-12-05,2015-11-30,2015-12-04,FALSE,"Celeste-Tel"
"2015-dec","Invymark",0.199,0.289,NA,0.195,0.187,NA,NA,NA,NA,2015-12-05,2015-11-30,2015-12-04,FALSE,"Invymark"
"2015-dec","NC Report",0.227,0.298,NA,0.193,0.178,0.02,0.004,NA,1500,2015-12-05,2015-11-23,2015-12-04,FALSE,"NC Report"
"2015-dec","Sigma Dos",0.194,0.275,NA,0.212,0.216,0.02,NA,NA,1800,2015-12-04,2015-12-01,2015-12-03,FALSE,"Sigma Dos"
"2015-dec","GAD3",0.215,0.282,NA,0.203,0.179,0.022,0.004,NA,5700,2015-12-04,2015-11-10,2015-12-03,FALSE,"GAD3"
"2015-nov","TNS Demoscopia",0.2,0.271,NA,0.195,0.216,NA,NA,NA,1033,2015-11-30,2015-11-16,2015-11-29,FALSE,"TNS Demoscopia"
"2015-nov","GESOP",0.214,0.239,NA,0.209,0.21,0.027,NA,NA,1816,2015-11-29,2015-11-23,2015-11-28,FALSE,"GESOP"
"2015-nov","Celeste-Tel",0.239,0.281,NA,0.189,0.186,0.019,0.004,NA,1100,2015-11-28,2015-11-23,2015-11-27,FALSE,"Celeste-Tel"
"2015-nov","Invymark",0.208,0.295,NA,0.177,0.18,NA,NA,NA,1200,2015-11-28,2015-11-23,2015-11-27,FALSE,"Invymark"
"2015-nov","NC Report",0.231,0.293,NA,0.191,0.174,0.02,0.004,NA,3000,2015-11-28,2015-11-09,2015-11-27,FALSE,"NC Report"
"2015-nov","Sigma Dos",0.202,0.271,NA,0.2,0.23,0.022,NA,NA,1500,2015-11-27,2015-11-24,2015-11-26,FALSE,"Sigma Dos"
"2015-nov","GAD3",0.231,0.283,NA,0.189,0.174,0.025,0.004,NA,4300,2015-11-27,2015-11-02,2015-11-26,FALSE,"GAD3"
"2015-nov","Metroscopia",0.225,0.227,NA,0.223,0.226,NA,NA,NA,1200,2015-11-26,2015-11-23,2015-11-25,FALSE,"Metroscopia"
"2015-nov","TNS Demoscopia",0.206,0.274,NA,0.186,0.213,NA,NA,NA,1018,2015-11-23,2015-11-09,2015-11-22,FALSE,"TNS Demoscopia"
"2015-nov","Celeste-Tel",0.239,0.275,NA,0.185,0.189,0.018,0.004,NA,1100,2015-11-21,2015-11-16,2015-11-20,FALSE,"Celeste-Tel"
"2015-nov","JM&A",0.187,0.272,NA,0.201,0.195,0.027,0.005,NA,NA,2015-11-20,2015-11-19,2015-11-19,FALSE,"JM&A"
"2015-nov","GAD3",0.228,0.285,NA,0.2,0.164,0.026,0.003,NA,3000,2015-11-20,2015-10-26,2015-11-19,FALSE,"GAD3"
"2015-nov","Simple Lógica",0.204,0.265,NA,0.214,0.219,NA,NA,NA,1746,2015-11-17,2015-11-02,2015-11-16,FALSE,"Simple Lógica"
"2015-nov","CIS",0.208,0.286,NA,0.193,0.19,0.019,0.003,NA,17452,2015-11-17,2015-10-27,2015-11-16,FALSE,"CIS"
"2015-nov","TNS Demoscopia",0.205,0.264,NA,0.193,0.204,NA,NA,NA,1018,2015-11-16,2015-11-02,2015-11-15,FALSE,"TNS Demoscopia"
"2015-nov","Sigma Dos",0.203,0.273,NA,0.204,0.214,NA,NA,NA,NA,2015-11-14,2015-11-11,2015-11-13,FALSE,"Sigma Dos"
"2015-nov","Invymark",0.222,0.285,NA,0.172,0.182,NA,NA,NA,NA,2015-11-14,2015-11-09,2015-11-13,FALSE,"Invymark"
"2015-nov","Celeste-Tel",0.238,0.271,NA,0.181,0.195,0.017,0.004,NA,1100,2015-11-14,2015-11-09,2015-11-13,FALSE,"Celeste-Tel"
"2015-nov","GAD3",0.221,0.279,NA,0.186,0.179,0.025,0.004,NA,3100,2015-11-13,2015-10-19,2015-11-12,FALSE,"GAD3"
"2015-nov","TNS Demoscopia",0.196,0.263,NA,0.197,0.202,NA,NA,NA,1014,2015-11-09,2015-10-26,2015-11-08,FALSE,"TNS Demoscopia"
"2015-nov","Celeste-Tel",0.24,0.264,NA,0.15,0.211,0.017,0.004,NA,1100,2015-11-07,2015-11-02,2015-11-06,FALSE,"Celeste-Tel"
"2015-nov","JM&A",0.182,0.28,NA,0.185,0.197,0.019,0.006,NA,NA,2015-11-05,2015-11-04,2015-11-04,FALSE,"JM&A"
